"Timestamp","Write out your state code. (The last 4 digit would be most preferred)","What is your current NYSC status?","If you have completed your NYSC, what year did you complete your service?","What is your marital status? ","What is your gender?","What is your age range?","What was your state of residence before NYSC service?","What is your state of deployment?","After NYSC, do you plan to return to your state of origin?","What was your course of study at the university/polytechnic?","Rate your time at your PPA","Is your PPA helping you develop new skills?","Is your PPA far from where you live? Do they assist with transport fare?","Is your PPA relevant to your course of study?","Do you receive a regular monthly allowance (allawee) from your PPA?","What range is your PPA’s salary?","What type of accommodation do you have during service year?","Are you currently learning any skill during your service year?","If yes, pls specify the skill:","Please select the category that best describes your Place of Primary Assignment (PPA):","Would you like to keep working at your PPA after your NYSC service year?","Overall, how valuable do you find the NYSC program?"
"2025/06/22 4:10:31 PM CST","3966","Currently serving","","Single","Male","24-26 years","Edo","Rivers","No","Environmental science","Excellent","Yes","Yes, Yes.","No","Yes","₦31,000 - ₦40,000","Family and friends","Yes","Shoe making","ICT Technology: Tech firms, Software,etc","Yes","Somewhat valuable"
"2025/06/23 4:05:48 AM CST","1845","Currently serving","","Single","Male","27-29 years","Delta","Lagos","Undecided","Environmental science","Good","Yes","Yes, No","No","No","Nothing at all. I dey suffer.","Self-arranged","Yes","","ICT Technology: Tech firms, Software,etc","No","Somewhat valuable"
"2025/06/23 8:09:48 AM CST","2308","Currently serving","still serving","Single","Male","24-26 years","Enugu","Rivers","No","Art/social science","Good","No","Yes, No","Yes","Yes","₦21,000 - ₦30,000","Self-arranged","Yes","Forex","Education","No","Not valuable"
"2025/06/23 8:46:34 AM CST","3700","Completed","2024","Single","Male","27-29 years","Ondo State","Enugu","No","Engineering","Terrible","No","No, No","Yes","No","Nothing at all. I dey suffer.","PPA-provided","Yes","Rice Farming","Education","No","Somewhat valuable"
"2025/06/23 9:39:28 AM CST","2451","Completed","2025","Single","Male","27-29 years","Edo state","Anambra","Yes","Environmental science","Excellent","Yes","No, No","Yes","Yes","₦10,000 - ₦20,000","Self-arranged","No","","Education","No","Very valuable"
"2025/06/23 10:33:22 AM CST","4765","Currently serving","2025","Single","Female","24-26 years","Edo state","Rivers","Undecided","Education","Average","Yes","Yes, No","Yes","Yes","₦31,000 - ₦40,000","Self-arranged","No","","ICT Technology: Tech firms, Software,etc","No","Somewhat valuable"
"2025/06/23 10:43:29 AM CST","0004","Completed","2021","Single","Female","27-29 years","Port Harcourt","Taraba","Yes","Linguistic & Communication Studies ","Excellent","Yes","No, Yes","No","Yes","Nothing at all. I dey suffer.","Self-arranged","No","","Education","No","Very valuable"
"2025/06/23 10:49:04 AM CST","3850","Currently serving","","Single","Female","21-23 years","Lagos State","Rivers","Yes","Mass Communication ","Fair/manageable","No","No, No","Yes","No","Nothing at all. I dey suffer.","Self-arranged","Yes","Digital Marketing ","Oil and gas.","No","Neutral"
"2025/06/24 4:34:39 AM CST","2753","Currently serving","","Single","Female","24-26 years","Rives State","Rivers","No, I want to continue staying in my state of service","Mass Communication ","Average","No","No, No","Yes","Yes","₦10,000 - ₦20,000","PPA-provided","Yes","Project Management ","Private Sector/Corporate Organizations","No","Somewhat valuable"
"2025/06/24 6:48:19 AM CST","0725","Currently serving","","Single","Female","24-26 years","Lagos","Lagos","No, I want to continue staying in my state of service","Art/social science","Good","Yes","Yes, No","Yes","Yes",">₦50,000","Family and friends","No","","NGOs/International organization","Undecided","Somewhat valuable"
"2025/06/24 7:39:02 AM CST","2762","Currently serving","2025","Single","Male","24-26 years","Delta","Delta","Yes","Environmental science","Good","Yes","No, No","Yes","Yes",">₦50,000","Family and friends","No","","Oil and gas.","Yes","Very valuable"
"2025/06/24 7:40:50 AM CST","2720","Currently serving","","Single","Female","24-26 years","Delta state ","Rivers","Undecided","Science laboratory technology ","Average","No","No, No","No","No","Nothing at all. I dey suffer.","Self-arranged","No","","Education","No","Neutral"
